Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
Caipora,Monkey / Golden Lion Tamarin,13,$9-15,$3-6,$1-3,44206,Ty Store WWF
California,Bear,12,$3-7,$1-3,$1,40083,State
California (with extra tag),Bear,12,$19-30,$5-10,$1,40083,Knott's Berry Farm
California Poppy,Bear,13,$3-7,$1-3,$1,40292,Trade Show
California Poppy (with extra tag),Bear,13,$19-28,$5-10,$1,40292,Knott's Berry Farm
Canada,Bear,12,$3-5,$1-3,$1,46017,Canada
Canada Key-clip,Bear,14 sm,$5-8,$1-3,$1,46075,Canada
CAND-e,Bear,10,$3-6,$1-3,$1,4417,Ty Store
Candy Canes (red),Bear,15,$5-9,$2-5,$1,47082,
Candy Canes (white),Bear,15,$5-9,$2-5,$1,47082,
Candy Cat,Peppa Pig,18,$18-22,$5-11,$1-3,46172,UK
Canters,Horse,BBOM,$7-10,$3-5,$1-3,48423,BBOM
Canyon,Cougar,5,$2-5,$1-3,$1,4212,
Cappuccino,Cat,BBOM,$5-10,$2-5,$1,4804,BBOM
Captain,Whale,13,$5-8,$1-3,$1,40245,
Captain America,Marvel Superhero,19,$3-8,$1-3,$1,41189,
Captain Haddock,The Adventures of Tintin,18,$8-10,$2-5,$1,40911,
Captain SpongeBob,SpongeBob,16,below,below,below,40770,see SpongeBob
Cargo,Dog: Bichon Frise,15,$38-54,$15-25,$3-7,40685,
Cargo,Dog: Bulldog,BB2.0,$5-7,$2,$1,42041,
Carl - prisoner,Minion Despicable Me,19,$2-5,$2-4,$1,41222,
Carl Edwards #99,Bear,15,$2-5,$1-3,$1,40645,
Carnation,Cat,"7,11",$4-8,$2-5,$1,4575,
Carrots,Bunny Rabbit,"7,10",$2-5,$1,$1,4512,
Carvers,Bear,15,$14-10,$3-7,$1-3,47097,Hallmark
Casanova,Bear,14,$2-4,$1,$1,40476,
Casey Mears #25,Bear,15,$4-7,$1-3,$1,40562,
Cashew,Bear,"6, 7",$2-5,$1-3,$1,4292,
Cassie,Dog: Collie,"7,8",$6-14,$2-5,$1-3,4340,
Cat Heart Eyes,The Emoji Movie,19,$3-5,$1-3,$1,42294,
Catcher (big eyes),Dog: Dalmatian,19,$8-12,$3-7,$1-3,42303,
Catsby,Cat,14,$5-9,$2-5,$1-3,40361,
Caw,Crow,3,$100- 175,$40-80,$15- 30,4071,With a 1st gen China tush - authenticated is the higher side
Caw,Crow,3,$65- 100,$35-50,$15- 30,4071,With a 2nd gen tush tag - Authenticated is the higher side
Caw,Crow,3,$125- 275,$85- 150,$25- 50,4071,With a 1st gen KOREA tush - authenticated is the higher side
Cecil (In memory of),Lion,19,$7-10,$2-5,$1-3,42133,Zimbabwe Lion killed 7/2/15
Celebrate,Bear,"7,9",$2-5,$1-3,$1,4385,
Celebration,Bear,17,$2-5,$1,$1,40826,
Celebrations,Bear,"7,10",$1-3,$1,$1,4620,"UK, Canada, Australia, New Zealand"
Champion-Argentina,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Belgium,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Brazil,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Cameroon,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-China PR,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Costa Rica,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Croatia,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Denmark,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Ecuador,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-England,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-France,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Germany,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Italy,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Japan,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Japanese writing in hang tag,Bear/FIFA,Champion,$5-8,$1-3,$1,4408,Japan
Champion-Korean writing in hang tag,Bear/FIFA,Champion,$5-8,$1-3,$1,4408,Korea
Champion-Mexico,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Nigeria,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Paraguay,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Poland,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Portugal,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Republic of Korea,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Republic of Ireland,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Russia,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Saudi Arabia,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Senegal,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Slovenia,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-South Africa,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Spain,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Sweden,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Tunisia,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Turkey,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Uruguay,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-USA,Bear/FIFA,Champion,$2-5,$1,$1,4408,
Champion-Chicago Cubs,Bear/Baseball,19,$15-20,$3-7,$1-3,41728,2016 World Series Champions MLB Licensed
ChariTee,Bear,12,$4-7,$1-3,$1,40080,USA
Charles,Bear,14,$18-25,$4-9,$1-3,46085,Harrod's
Charles (certi cate),Bear,14,$45-65,$20-35,$1-3,46085,Harrod's with 1st day cert
Charlie,Monkey,14,$8-12,$2-5,$1-3,40403,
Charlie,Cow,BB2.0,$8-12,$2-5,$1-3,42039,
Charlie Brown (musical),Peanuts,17,$10-15,$3-7,$1-3,40850,Disclose if sounds work or not
Charlie Brown (non musical),Peanuts,17,$9-12,$2-5,$1-3,46165,UK
Charlie Brown Key-clip,Peanuts,17,$15-25,$3-9,$1-3,40859,
Charm,Frog,14,$6-10,$2-5,$1-3,40349,
Charmer,Gorilla,19,$9-17,$2-5,$1-3,40977,
Charmer,Unicorn,"7,10",$5-10,$2-5,$1-3,4568,
Charming,Horse,13,$9-15,$3-7,$1-3,40314,
Charming,Unicorn,19,$3-5,$1-3,$1,42051,
Chaser,Dog: Black Lab,15,$5-12,$3-8,$1-3,40654,
Checkers,Bunny Rabbit,19,$20-45,$7-14,$2-5,41142,
Cheddar (blue undertone),Mouse,"7,10",$3-7,$1-3,$1,4525,
Cheddar (tan body),Mouse,"7,10",$3-7,$1-3,$1,4525,
Cheek to Cheek,Bear,14,$9-14,$3-7,$1-3,40472,
Cheeks,Baboon,5,$2-5,$1,$1,4250,
Cheery,Bear,"7,8",$3-5,$1,$1,4359,Clouds can vary from light to dark blue
Cheesly,Mouse,13,$5-9,$1-3,$1,40240,
Cheezer,Mouse,"6,7",$2-5,$1,$1,4301,
Chef Robuchon,Bear,14,$5000- 6500,$2000- 2500,$1000 -1500,47045,Opening NY Four Seasons L’Atelier
Chef Robuchon with case and invitation,Bear,14,$6000- 8000,$2000- 3000,$1000 -1750,47045,Opening NY Four Seasons L'Atelier
Chenille (Pinkys),Chick,Pinkys,$5-8,$1-3,$1,40210,
Cherry Ice,Bear,15,$35-45,$12-20,$2-5,40678,Trade Show
Chessie,Cheetah,15,$15-25,$5-9,$1-4,40660,
Chestnut,Reindeer,15,$3-8,$1-3,$2,40792,
Chic (Pinkys purse),Cat Purse,Pinkys,$5-10,$1,$2,40213,
Chicago,Bear,12,$2-5,$1,$1,40089,Trade Show
Chicago Bears,Bear/Football,19,$4-7,$1-3,$1,41723,NFL licensed
Chicago Blackhawks,Bear/Hockey,19,$8-12,$2-5,$1-3,41726,NHL licensed
Chicago Cubs,Bear/Baseball,19,$4-9,$1-3,$1,41713,MLB licensed
Chickie,Chick,"7,10",$4-7,$1-3,$1,4509,
Chili,Polar Bear,12,$3-6,$1-3,$1,40088,
Chill,Penguin,BB2.0,$2-5,$1,$1,42016,
Chillin',Snowman,"7,11",$3-8,$1-3,$1,40025,
Chillingsly,Bear,14,$3-7,$1-3,$1,40446,
Chills,Penguin,18,$10-15,$1-5,$1,40897,
Chills (Mr. Popper's Penguins DVD & Beanie set),Penguin,18,$25-35,$15-25,$1-3,40897,"Mr. Popper's Penguins DVD & Beanie, boxed gift set"
Chillton,Bear,BBOM,$7-10,$2-5,$1-3,48432,BBOM
Chilly,Polar Bear,1,$600- 1500,$150- 700,$50- 150,4012,Authenticated is the higher side
Chilly,Polar Bear,2,$450- 750,$225- 500,$50- 150,4012,Authenticated is the higher side
Chilly,Polar Bear,3,$225- 550,$125- 300,$50- 150,4012,Authenticated is the higher side
Chilly Willy,Woody Woodpecker Penguin,19,$50-95,$25-40,$5-10,42258,Brazil
China,Panda Bear,"6,7",$2-7,$1-3,$1,4315,
Chinook,Bear,6,$5-8,$1-5,$1,4604,Canada
CHIP (All caps),Cat,4,$30-60,$15-20,$1,4121,Hang tag name all capital letters. Canada
Chip,Cat,"4,5",$2-6,$1,$1,4121,
Chipper,Chipmunk,5,$2-5,$1,$1,4259,
Chitraka,Cheetah,13,$12-20,$5-11,$3-8,44207,Ty Store WWF
Chloe,Cat/The Secret Life of Pets,19,$4-8,$1-3,$1,41171,
Chococat,Hello Kitty,17,below,below,below,40881,See Hello Kitty
Chocolate,Moose,1,$400- 1000,$150- 400,$1-5,4015,Authenticated is on the higher side
Chocolate,Moose,2,$125- 250,$50- 125,$1-5,4015,Authenticated is on the higher side
Chocolate,Moose,3,$40- 100,$15-30,$1-5,4015,with a 1st gen tush tag - authenticated is on the higher side
Chocolate,Moose,3,$30-50,$9-17,$1,4015,with a 2nd gen tush tag - authenticated is on the higher side
Chocolate,Moose,4,$2-10,$1-3,$1,4015,
"Chocolate ""rnoose""",Moose,4,$25-90,$12-25,$1,4015,r noose in poem instead of moose
"Chocolate ""mocse""",Moose,4,$25-90,$12-25,$1,4015,mocse in poem instead of moose
"Chocolate ""chocholate""",Moose,5,$225- 400,$75- 150,$25- 40,4015,Chocholate tush tag spelling error
Chocolate,Moose,5,$2-10,$1-3,$1,4015,
Chocolate (BBOC),Moose,BBOC,$5-10,$1-3,$1,49021,BBOC
Chocolate Chip,Bear,14,$10-25,$3-9,$1-3,47042,Midwest Airlines
Chocolate Kiss,Dog: Chocolate Lab,15,$5-10,$2-5,$1-3,47091,Walgreens
Chompers,Shark,BBOM,$4-10,$1-3,$1,48403,BBOM
Chompy,Alligator,BB2.0,$4-9,$2-5,$1-3,42042,
Chops,Lamb,3,$35- 125,$15-50,$1,4019,Authenticated is on the higher side
Chops,Lamb,4,$4-10,$2-5,$1,4019,
Chopstix,Monkey,12,$4-7,$1-3,$1,40047,
Chuckles,Hedgehog,13,$6-10,$2-5,$1,40172,
Cinders,Bear,"6,7",$2-6,$1-3,$1,4295,
Cinta (Malaysia),Bear,12,$8-12,$1-3,$1,46005,Asia-Paci c
Cito,Dog,19,$46-80,$25-40,$12- 18,N/A,Thomas Fire Montecito Rescue Charity Dog
Clark,Fox,19,$12-19,$3-5,$1,42181,Santa Barbara Zoo
Class 0f 2004,Owl,12,$2-5,$1,$1,40066,
Classy (People's Beanie),Bear,People's,$3-6,$1-3,$1,4373,Ty Store & retail
CLAUDE (All caps),Crab,4,$2-12,$2-5,$1,4083,Hang tag name all capital letters. Canada
CLAUDE (All caps),Crab,4,$2-12,$2-5,$1,4083,Hang tag name all capital letters. USA
Claude,Crab,"4,5",$3-15,$1,$1,4083,false rumors surround this poor crab
Clawdia,Tiger,19,$6-10,$3-5,$1-2,40546,
Cleo (big eyes),Cat,19,$5-12,$1-5,$1,43205,
Clint Bowyer No. 7,Bear,15,$5-8,$1-3,$1,40644,
Clipper,Dolphin,BB2.0,$4-8,$1-3,$1,42027,
Clover,Bear,"7,9",$2-5,$1-3,$1,4503,
Clover (4-H),Bear,13,$2-5,$1-3,$1,47012,4-H Club online
Clubby,Bear,5,$3-8,$1-3,$1,4991,BBOC
Clubby Beanie Case - Case Only,Black Base,None,$10,N/A,N/A,N/A,Ty Store
Clubby II,Bear,5,$2-5,$1-3,$1,4992,BBOC
Clubby II Platinum Membership Kit,Bear Kit,5,$8-20,$2-5,$1,4992,Unopened case
Clubby III,Bear,"6,7",$1-3,$1,$1,4993,BBOC
Clubby IV (Gold button),Bear,"7,9",$5-7,$1,$1,4996,BBOC
Clubby IV (Rainbow button),Bear,"7,9",$2-5,$1,$1,4996,BBOC
Clubby IV (Silver button),Bear,"7,9",$3-6,$1,$1,4996,BBOC
Clubby IV in Case,Bear Case,"7,9",$3-8,$2-5,$2-5,4996,Note: Case is not tamper proof
Clubby V,Bear,"7,10",$2-5,$1,$1,4997,BBOC
Clubby VI (Blue),Bear,"7,11",$2-5,$1,$1,49000,BBOC
Clubby VI (Purple),Bear,"7,11",$2-5,$1,$1,49000,BBOC
Clubby VI (Rainbow),Bear,"7,11",$2-5,$1,$1,49000,
Clubby VII,Bear,14,$3-5,$1,$1,49035,BBOC
Clubby VIII,Bear,BBOC,$15-20,$3-7,$1-3,49038,"BBOC, Ty Store"
Clucky,Chicken,BBOM,$9-15,$3-7,$1-3,48427,BBOM
Coastline,Elephant,15,$8-12,$2-6,$1-3,40630,
Coco Presley (brown),Bear: Elvis,15,$4-9,$1-3,$1,47075,Walgreens
Coco Presley (orange),Bear: Elvis,15,$3-6,$1-3,$1,47074,Walgreens
Cocoa,Dog: Chocolate Lab,17,$25-40,$8-14,$2-5,40876,
Cocoa Bean,Bear,14,$3-7,$1-3,$1,47046,Hershey's/ Walgreens
Colin,Dog: Welsh Corgi,19,$6-10,$3-5,$2,40242,
Color Me Beanie (bear),Bear,"7,10",$2-7,$1-3,$1,4989,
Color Me Beanie (bunny),Bunny Rabbit,"7,11",$2-7,$1-3,$1,4988,
Color Me Beanie Birthday Kit (bear),Bear,"7,11",$2-7,$1-3,$1,4903,
Color Me Beanie Birthday Kit (cat),Cat,"7,11",$2-7,$1-3,$1,4902,
Color Me Beanie Birthday Kit (dog),Dog,"7,11",$2-7,$1-3,$1,4901,
Color Me Beanie Birthday Kit (unicorn),Unicorn,"7,11",$2-7,$1-3,$1,4904,
Colorado,Bear,12,$5-11,$2-5,$1-3,40123,State
Colorado Columbine,Bear,13,$9-14,$2-5,$1-3,40298,Trade Show
Colosso,Mammoth,"7,11",$3-8,$1-3,$1,40002,
Columbus,Bear,12,$2-6,$1-3,$1,40134,Trade Show
Comet,Bear,BBOM,$5-25,$1-5,$1,4810,Varies with colors/patterns
Congo,Gorilla,"4,5",$1-3,$1,$1,4160,
Congo (2011),Gorilla,18,$9-15,$3-8,$1-4,40896,
Congrats,Dog,19,$5-10,$1-5,$1,40768,
Cookies and Cream,Dog,15,$5-10,$2-5,$1,47089,Hershey's/ Walgreens
Cool Cat,Gar eld,13,$4-9,$1-3,$1,40215,
Cool Chick (purse),Chick Purse,14,$9-15,$2-5,$1-3,40335,
Cool Clutch (purse),Purse,14,$5-10,$2-5,$1-3,40390,
Cool Teacher,Bear,14,$2-5,$1,$1,40356,
Coolio,Moshi Monsters,19,$3-7,$2-5,$1,46212,UK
Coolstina,Snowgirl,15,$4-9,$1-3,$1,40701,
Coolston,Snowman,15,$2-5,$1,$1,40702,
Coop,Chick,15,$2-5,$1,$1,40493,
Copper,Dog: Cocker Spaniel,15,$9-15,$5-10,$2-5,44118,Ty Store
Copper (big eyes),Dog: Cocker Spaniel,18,$15-20,$2-5,$1-3,42068,
Coral,Fish,3,$35- 175,$12-65,$1-10,4079,Authenticated is the higher side. Colors can raise the price.
Coral,Fish,4,$5-20,$1-5,$1,4079,
Coral Casino,Bear,9,$950- 2000,$400- 900,$150- 225,None,Coral Casino members. Authenticated is the higher side.
Coreana,Bear,11,$5-10,$2-5,$1-3,4629,Korea
Corky,Dog: Norfolk Terrier,17,$5-11,$3-7,$1-3,40877,
Cornbread,Bear,11,$3-7,$1-3,$1,4704,Cracker Barrel
Cornstalk,Cow,15,$7-15,$2-5,$1-3,40614,
Cornstalk (with Barnyard DVD),Cow,15,$35-50,$12-20,$10,40614,DVD stores
Corsage,Bear,12,$1-3,$1,$1,40046,
Cotton (big eyes),Bunny Rabbit,19,$8-12,$2-5,$1-3,42267,
Cotton Tail,Bunny Rabbit/ Peter Rabbit,19,$9-18,$3-5,$1-3,42278,"Movie, not exclusive"
Cottonball,Bunny Rabbit,"7,10",$1-5,$1,$1,4511,
Count,Bear,12,$3-8,$1,$1,40116,
"Countdown (10, 9, 8)",Bear,12,$3-5,$1,$1,44027,Ty Store
"Countdown (3, 2, 1)",Bear,12,$7-10,$2-5,$1,44027,Ty Store
"Countdown (7, 6, 5 & 4)",Bear,12,$3-8,$1,$1,44027,Ty Store
Countess,Ladybug,BBOM,$2-5,$1-3,$1,48401,BBOM
Courage ( ag left leg) English in hang tag,Dog: German Shepherd,9,$2-5,$1,$1,4515,USA
Courage ( ag left leg) Japanese in hang tag,Dog: German Shepherd,9,$2-5,$1,$1,4515,Japan
Courage ( ag right leg) English in hang tag,Dog: German Shepherd,9,$2-5,$1,$1,4515,USA
Courage ( ag right leg) Japanese in hang tag,Dog: German Shepherd,9,$2-5,$1,$1,4515,Japan
Courage ( ag right leg) Ty Store hang tag,Dog: German Shepherd,9,$2-5,$1,$1,4515,"Ty Store ""Courage -NYPD"" on tush tag"
Courageous (1st Annual Festival),Bear,14,$60-90,$15-35,$1-5,47043,Special Olympics Canada
Courageous (Canada Retail),Bear,14,$3-7,$1-3,$1,46083,Canada
Courageous (Collector's Edition),Bear,14,$40-60,$10-20,$1-5,47043,Special Olympics Canada
Courageously (1st Annual Festival),Bear,14,$50-90,$15-35,$1-5,47043,Special Olympics Canada
Courageously (Canada Retail),Bear,14,$3-7,$1-$3,$1-5,46083,Canada
Courageously (Collector's Edition),Bear,14,$35-65,$15-25,$1-5,47043,Special Olympics Canada
Courageousness (1st Annual Festival),Bear,14,$50-90,$15-35,$1-5,47043,Special Olympics Canada
Courageousness (Canada Retail),Bear,14,$3-7,$1-3,$1-5,46083,Canada
Courageousness (Collector's Edition),Bear,14,$35-60,$10-22,$1-5,47043,Special Olympics Canada
Creampu,Bunny Rabbit,19,$15-35,$5-8,$1-3,41140,Patience is needed to get higher price
Creamy,Bear,16,$6-10,$2-5,$1-3,47133,Hershey's/ Walgreens
Creepers,Skeleton,"7,9",$3-10,$1-3,$1,4376,Higher at Halloween
Cricket,Cat,BB2.0,$5-8,$1-3,$1,42043,
Crinkles,Dog: Sharpei,12,$8-15,$2-5,$1-3,40151,
Croaks,Frog,13,$4-8,$1-3,$1,40178,
Crooner,Cardinal,15,$7-11,$2-5,$1-3,40687,
Crunch,Shark,"4,5",$2-5,$1,$1,4130,
Cruz Ramirez -yellow,Racecar/Cars 3,Sparkle,$4-8,$1-3,$1,42255,
Cuatro,Hedgehog/ Ferdinand,19,$5-8,$3,$1,42263,
Cubbie,Brown Bear,1,$700- 1400,$250- 600,$1-5,4010,Must be authenticated
Cubbie,Brown Bear,2,$125- 250,$50- 125,$1-5,4010,Authenticated is the higher side
Cubbie,Brown Bear,3,$35- 110,$14-35,$1-5,4010,with a 1st gen tush tag. Authenticated is the higher side
Cubbie,Brown Bear,3,$25-70,$9-25,$1,4010,with a 2nd gen tush tag. Authenticated is the higher side
Cubbie,Brown Bear,4,$3-6,$1-3,$1,4010,
Cubbie,Brown Bear,5,$3-6,$1-3,$1,4010,
Cubbie (BBOC),Brown Bear,BBOC,$8-12,$1-3,$1,49029,BBOC
Cupid (patch on left eye),Dog: Valentine,"7,9",$3-7,$1-3,$1,4502,
Cupid (patch on right eye),Dog: Valentine,"7,9",$6-7,$1-3,$1,4502,
Cupid's Bow,Bear,15,$8-15,$2-5,$1-3,47094,Borders
Cure,Bear,"7,11",$1-5,$1,$1,40027,
Curls,Bear,13,$2-5,$1,$1,40181,
Curly,Bear,"4,5",$4-11,$1-10,$1,4052,Common. Victom of clickbait & fake sales.
Curtsy,Cat,15,$15-22,$5-12,$1-3,40627,
Cutesy,Dog,12,$5-9,$1-3,$1,40149,
D (D beanie),Bear,Alphabet,$3,$1,$1,40504,
Dabbles,Bear,BBOM,$2-5,$1,$1,48424,BBOM
Dad (Ty Store) (purple A),Bear,13,$2-5,$1,$1,44051,Ty Store
Dad (yellow A),Bear,13,$1-3,$1,$1,40230,
Dad 2006,Bear,14,$2-5,$1,$1,44087,Ty Store
Dad 2007,Dog: Bulldog,15,$3-5,$1,$1,44105,Ty Store
Daddy Pig,Peppa Pig,19,$15-25,$8-12,$2-5,46189,UK
Daddy Pig Key-clip,Peppa Pig,19 sm,$8-10,$3-5,$1,46229,
DAD-e,Bear,10,$3-5,$1-3,$1,4413,Ty Store
DAD-e 2003,Bear,11,$3-5,$1-3,$1,4421,Ty Store
DAD-e 2004,Bear,12,$3-5,$1-3,$1,44012,Ty Store
Da odil,Bear,7,$6-9,$1-3,$1,4624,UK
Da y Duck,Looney Tunes,18,$15-20,$5-9,$1-3,47150,Walgreens
Daichi,Bear,15,$10-20,$6-9,$1-3,46090,Asia-Paci c
Dainty,Bear,15,$25-40,$12-20,$2-10,40684,
Daisy,Cow,1,$400- 1200,$150- 450,$1-5,4006,Authenticated is the higher side
Daisy,Cow,2,$85- 200,$45- 125,$1-5,4006,Authenticated is the higher side
Daisy,Cow,3,$35- 110,$15-55,$1-5,4006,with a 1st gen tush tag
Daisy,Cow,3,$22-55,$10-35,$1,4006,with a 2nd gen tush tag
Daisy,Cow,4,$2-5,$1,$1,4006,
Daisy,Cow,5,$2-5,$1,$1,4006,
Daisy (Harry Caray Ty tag),Cow,5,$25-45,$12-20,$1,4006,Sports Promo - some are asking super high $$ but actual sales are in this range
Dallas Cowboys,Bear/Football,19,$20-30,$8-15,$2-5,41720,NFL licensed
Dancy,Panda Bear,15,$19-30,$9-14,$2-5,44113,Ty Store - do not sell this one on auction or it will go cheap. Be patient.
Danny Dog,Peppa Pig,16,$12-16,$4-7,$1-3,46138,UK
Darling,Dog,"7,8",$2-5,$1-3,$1,4368,
Dart,Frog,"7,8",$2-5,$1,$1,4352,
Dash (big eyes),Bunny Rabbit,19,$9-15,$2-5,$1,41179,
Dave - tourist,Minion/Despicable Me,19,$4-9,$1-3,$1,41224,
Davey,Dog: Rottweiler,19,$70- 100,$30-50,$10- 20,42107,Davey Voice Org
Dazzler,Bear,Pinkys,$4-9,$1-3,$1,40203,
Dazzler Key-clip,Bear,Pinkys Sm,$2-5,$1,$1,40269,
Dear,Bear,12,$2-5,$1,$1,4706,Hallmark
Dear Dad,Bear,15,$3-5,$1,$1,47051,Hallmark
Dear Grandma,Bear,15,$3-5,$1,$1,47050,Hallmark
Dear Grandpa,Bear,15,$3-5,$1,$1,47052,Hallmark
Dear Heart,Bear,14,$3-5,$1,$1,47024,Hallmark
Dear Mom,Bear,15,$3-5,$1,$1,47049,Hallmark
Dear One,Bear,14,$3-5,$1,$1,47023,Hallmark
Dearest,Bear,"7,8",$2-5,$1,$1,4350,
Dearly,Bear,13,$3-5,$1-3,$1,47008,Hallmark
Decade (Brown),Bear,11,$2-5,$1,$1,4585,Ty Store
Decade (Gold),Bear,"7,11",$2-5,$1,$1,4585,
Decade (Green),Bear,"7,11",$2-5,$1,$1,4585,
Decade (Hot pink),Bear,BBOM,$2-5,$1,$1,4806,BBOM
Decade (Light blue),Bear,"7,11",$2-5,$1,$1,4585,
Decade (Orange),Bear,"7,11",$2-5,$1,$1,4585,
Decade (Purple),Bear,"7,11",$2-5,$1,$1,4585,
Decade (Red),Bear,"7,11",$2-5,$1,$1,4585,
Decade (Royal blue),Bear,"7,11",$2-5,$1,$1,4585,
Decade (White),Bear,"7,11",$2-5,$1,$1,4585,
December (neck ru e),Bear,Birthday,$2-5,$1,$1,4387,
December (party hat),Bear,Birthday,$2-5,$1,$1,4551,
Deke,Bear,14,$9-15,$2-5,$1-3,46054,Canada
Deke Key-clip,Bear,14 sm,$5-10,$2-5,$1,46077,Canada
Delights,Bear,Pinkys,$2-6,$1,$1,44049,Ty Store
Delights (Pinkys) (red tag),Bear,Red Tag,$8-11,$2-5,$1,44049,Ty Store
Delilah,Cat,13,$7-14,$2-5,$1-3,40176,
Demure,Dog: Poodle,12,$5-9,$1-3,$1,40043,
Denny Hamlin #11,Bear,15,$10-20,$2-7,$1-3,40641,
Denver,Bear,12,$3-6,$3,$1,40135,Trade Show
Denver Broncos,Bear/Football,19,$4-7,$1-3,$1,41722,NFL licensed
Deputy,Dog,15,$10-15,$3-5,$1-3,40626,
"Derby (coarse mane, no star)",Horse,3,$80- 150,$25-65,$1-5,4008,8 strands yarn tail with a 1st gen tush tag
"Derby (coarse mane, no star)",Horse,3,$50- 100,$12-40,$1,4008,8 strands yarn tail with a 2nd gen tush tag
"Derby (coarse mane, no star)",Horse,"4,5",$2-5,$1,$1,4008,
"Derby (coarse mane, star)",Horse,5,$2-5,$1,$1,4008,
"Derby ( ne mane, no star)",Horse,3,$300- 550,$125- 250,$75- 150,4008,Approx. 15-20 thin strands of yarn
"Derby (fur mane, star)",Horse,5,$2-7,$1-3,$1,4008,
Derby 132,Horse,14,$7-11,$1-3,$1,40374,USA
Derby 132 (Kentucky Derby Store),Horse,14,$18-25,$5-12,$1,40374,"USA, KY Derby Store"
Derby 133,Horse,15,$4-7,$1-3,$1,40479,USA
Derby 133 (Kentucky Derby Store),Horse,15,$20-30,$9-14,$1,40479,"USA, KY Derby Store"
Derby 133 Churchill Downs,Horse,15,$25-50,$14-25,$1-5,47065,Churchill Downs Store
Derby 134 (blue),Horse,15,$4-9,$1-3,$1,40730,USA
Derby 134 (blue) (Kentucky Derby Store),Horse,15,$20-35,$12-18,$1,40730,"USA, KY Derby Store"
Derby 134 (blue) Churchill Downs Store,Horse,15,$20-35,$12-18,$1,40730,Churchill Downs Store
Derby 134 (pink),Horse,15,$4-9,$1,$1,40730,USA
Derby 134 (pink) (Kentucky Derby Store),Horse,15,$20-35,$12-18,$1,40730,"USA, KY Derby Store"
Derby 134 (pink) Churchill Downs Store,Horse,15,$20-35,$12-18,$1,40730,Churchill Downs Store
Destiny,Whale Shark/ Finding Dory,Sparkle,$2-5,$1-3,$1,41163,
Detroit Redwings,Bear/Hockey,19,$10-15,$4,$1,41737,NHL licensed
Detroit Tigers,Bear/Baseball,19,$5-10,$1-3,$1,41710,MLB licensed
Deuce (USA),Bear,14,$2-5,$1,$1,40417,USA
Deuce (USTA),Bear,14,$10-15,$2-5,$1-3,47034,US Open shop
Deutschland (Black nose),Bear,12,$2-5,$1,$1,40091,
Deutschland (Flag nose),Bear,12,$4-7,$1,$1,4639,Germany
Dewi Y Ddraig,Dragon,17,$150- 200,$40-75,$15- 25,46157,UK
Dewi Y Ddraig Key-clip,Dragon,16,$40-60,$12-20,$2-8,46141,UK
Diddley,Houndog,"7,9",$1-3,$1,$1,4383,
Diego,Go Diego Go,14,$8-12,$1-3,$1,40423,
Diego (2011),Go Diego Go,18,$18-23,$8-12,$1-3,40423,new design
Diego (Cuddle & Read),Go Diego Go,14,$14-17,$7-8,$2,40423,"Listen & Read CD, Book & Beanie Boxed"
Diego (Cub's Game 2009),Go Diego Go,16,$9-18,$3-5,$2,40423,Cub's Game 5/2/09
Diego (Ice Age),Ice Age,15,$9-18,$2-5,$1-3,40775,
Digger (2010) (Owls of Ga'Hoole),Legend of the Guardians,17,$28-40,$19-25,$8-15,40841,
Digger (orange body),Crab,1,$550- 800,$200- 400,$30- 80,4027,
